ID,Sample,zphot,MUV,Beta,Beta_err_plus,Beta_err_minus
334330,COSMOS,7.58,-21.3,-1.01,0.62,0.64
733875,COSMOS,7.58,-21.57,-1.87,0.74,0.79
812867,COSMOS,7.58,-21.02,-2.19,0.62,0.72
688541,COSMOS,7.66,-22.15,-2.88,0.38,0.41
765906,COSMOS,7.66,-22.61,-1.26,0.27,0.25
626972,COSMOS,7.75,-21.49,-2.65,0.71,1.03
536767,COSMOS,8.02,-21.4,-2.16,0.84,0.88
861605,COSMOS,8.02,-21.33,-3.91,1.1,1.6
978389,COSMOS,8.02,-21.68,-1.95,0.75,1.12
484075,COSMOS,8.11,-22.05,-2.07,0.48,0.5
578163,COSMOS,8.2,-22.35,-1.04,0.31,0.29
458445,COSMOS,8.38,-21.65,-2.89,0.88,1.11
448864,COSMOS,8.57,-21.15,-2.29,0.67,0.81
306122,COSMOS,8.76,-21.76,-2.25,0.49,0.53
892014,COSMOS,8.96,-22.16,-1.97,0.39,0.45
817482,COSMOS,9.89,-22.57,-1.15,0.56,0.59
43031,JWST,8.57,-18.43,-2.17,0.39,0.41
292744,JWST,8.86,-18.41,-2.55,1.28,1.15
14342,JWST,9.16,-18.82,-2.28,0.45,0.45
44085,JWST,9.26,-18.25,-1.41,0.41,0.38
8697,JWST,9.36,-18.86,-1.77,0.5,0.46
5071,JWST,9.47,-18.02,-2.55,1.0,1.01
44711,JWST,9.47,-20.14,-2.12,0.16,0.15
43866,JWST,9.47,-18.14,-2.78,0.32,0.31
34086,JWST,9.47,-17.87,-1.92,0.25,0.23
14391,JWST,9.47,-18.81,-1.8,0.51,0.44
12682,JWST,9.57,-18.95,-1.38,0.5,0.56
44566,JWST,9.68,-20.68,-1.64,0.11,0.12
22480,JWST,9.68,-18.5,-1.6,0.58,0.52
15019,JWST,9.68,-18.67,-4.61,1.16,1.96
12218,JWST,9.68,-19.28,-2.47,0.27,0.28
3398,JWST,9.68,-18.21,-5.72,1.37,2.18
6200,JWST,9.79,-18.52,-3.03,0.88,1.27
7606,JWST,9.89,-18.08,-4.28,2.21,2.9
3763,JWST,9.89,-18.99,-3.41,0.39,0.38
1698,JWST,10.45,-20.62,-2.0,0.14,0.15
20976,JWST,10.45,-18.8,-1.53,0.58,0.61
6647,JWST,10.45,-18.88,-0.23,1.12,0.92
3710,JWST,10.45,-19.06,-2.05,0.54,0.53
4063,JWST,10.45,-18.03,-3.13,0.74,0.77
30585,JWST,10.56,-19.35,-2.98,0.38,0.39
73150,JWST,10.56,-19.07,-3.57,0.95,1.0
21071,JWST,10.68,-19.27,-2.71,0.64,0.58
20757,JWST,10.68,-17.88,-0.74,1.02,1.05
6415,JWST,10.79,-19.13,-2.02,1.02,1.05
120880,JWST,10.79,-19.43,-2.73,0.58,0.59
26598,JWST,10.79,-18.47,-3.31,0.8,0.87
61486,JWST,11.15,-19.61,-2.61,0.41,0.52
622,JWST,11.27,-18.92,-3.38,0.56,0.58
33593,JWST,11.27,-19.58,-2.07,0.28,0.3
77241,JWST,11.27,-19.6,-2.51,0.38,0.42
5268,JWST,11.4,-19.16,-2.41,0.52,0.55
127682,JWST,11.4,-19.07,-2.73,0.6,0.64
26409,JWST,11.9,-18.84,-3.25,1.02,1.47
8347,JWST,11.9,-19.09,-2.93,0.33,0.38
10566,JWST,12.03,-19.7,-3.44,0.43,0.43
32395,JWST,12.29,-19.89,-3.3,0.25,0.3
1566,JWST,12.29,-18.77,-2.51,0.51,0.55
17487,JWST,12.42,-20.89,-2.64,0.26,0.27
27535,JWST,12.56,-19.42,-1.7,0.44,0.46
93316,JWST,16.39,-21.66,-1.89,0.15,0.15
