ID,zphot,zphot_err_plus,zphot_err_minus,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus
z6_Lgt0.75,6,,,-21.37,,,-2.18,0.16,0.15
z6_0.25ltLlt0.75,6,,,-19.79,,,-2.53,0.17,0.15
z6_Llt0.25,6,,,-16.45,,,-2.26,0.21,0.17
z7_Lgt0.75,7,,,-20.65,,,-1.92,0.2,0.17
z7_0.25ltLlt0.75,7,,,-19.56,,,-2.26,0.24,0.2
z7_Llt0.25,7,,,-17.47,,,-2.32,0.3,0.23
z8_Lgt0.75,8,,,-20.14,,,-2.1,0.34,0.38
z8_0.25ltLlt0.75,8,,,-19.42,,,-2.26,0.43,0.42
z8_Llt0.25,8,,,-17.13,,,-2.51,0.52,0.45
z9_Lgt0.75,9,,,-20.9,,,-2.13,0.45,0.42
z9_0.25ltLlt0.75,9,,,-19.29,,,-2.63,0.52,0.43
z9_Llt0.25,9,,,-18.54,,,-2.51,0.68,0.56
