ID,zphot,zphot_err_plus,zphot_err_minus,MUV,MUV_err_plus,MUV_err_minus,Beta,Beta_err_plus,Beta_err_minus
MUV_-21.75_z6,6,,,-21.75,,,-1.55,0.17,0.17
MUV_-21.25_z6,6,,,-21.25,,,-1.58,0.1,0.1
MUV_-20.75_z6,6,,,-20.75,,,-1.74,0.1,0.1
MUV_-20.25_z6,6,,,-20.25,,,-1.9,0.09,0.09
MUV_-19.75_z6,6,,,-19.75,,,-1.9,0.13,0.13
MUV_-19.25_z6,6,,,-19.25,,,-2.22,0.18,0.18
MUV_-18.75_z6,6,,,-18.75,,,-2.26,0.14,0.14
MUV_-18.25_z6,6,,,-18.25,,,-2.19,0.22,0.22
MUV_-17.75_z6,6,,,-17.75,,,-2.4,0.3,0.3
MUV_-17.00_z6,6,,,-17.0,,,-2.24,0.2,0.2
MUV_-21.25_z7,7,,,-21.25,,,-1.75,0.18,0.18
MUV_-19.95_z7,7,,,-19.95,,,-1.89,0.13,0.13
MUV_-18.65_z7,7,,,-18.65,,,-2.3,0.18,0.18
MUV_-17.35_z7,7,,,-17.35,,,-2.42,0.28,0.28
MUV_-19.95_z8,8,,,-19.95,,,-2.3,0.01,0.01
MUV_-18.65_z8,8,,,-18.65,,,-1.41,0.6,0.6
MUV_-18.50_z9,9,,,-18.5,,,-2.06,0.51,0.51
